product_name,current_stock,shop_name,shop_id,brand,unique_item_id,sold_per_month,historical_sold,liked_count,variation_type,variation,current_price,min_price,max_price,lowest_price_guarantee,current_discount_percentage,rating_star,shopee_verified,official_shop,cc_installment,none_cc_installment,preferred_seller,shop_location,shop_rating,cod,extraction_date
Martini 0.0 Dolce Spumante Alcohol Free 75cl,11,SingleMalt.PH,426244685,,18916638197,0,2,7,,[''],499.0,499.0,499.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Glencairn Crystal Whisky Glass with Individual Box,48,SingleMalt.PH,426244685,,13518780274,8,76,21,,[''],679.0,679.0,679.0,False,0,4.8,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Chivas 18 x Black Pink LISA (Special Release) 70cl,8,SingleMalt.PH,426244685,,9599794873,0,9,27,,[''],3499.0,3499.0,3499.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniels Gentleman Jack 75cl,3,SingleMalt.PH,426244685,,13820110749,1,16,11,,[''],1659.0,1659.0,1659.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
The Macallan Fine Oak Triple Cask 12 Year Old 70cl,7,SingleMalt.PH,426244685,,11055571296,0,36,12,,[''],8899.0,8899.0,8899.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Bombay Sapphire 75cl,7,SingleMalt.PH,426244685,,9994272723,0,22,11,,[''],1299.0,1299.0,1299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Patron Añejo Tequila 75cl,2,SingleMalt.PH,426244685,,18440909029,0,1,0,,[''],3899.0,3899.0,3899.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Flor De Caña 12 Year Old Centenario Rum 70cl,2,SingleMalt.PH,426244685,,19837462943,3,9,9,,[''],2199.0,2199.0,2199.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hennessy VSOP Cognac 70cl,16,SingleMalt.PH,426244685,,12020159919,0,13,11,,[''],3799.0,3799.0,3799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Paddy Irish Whiskey 70cl,6,SingleMalt.PH,426244685,,22636957858,1,4,1,,[''],699.0,699.0,699.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker 15 Year Old Sherry 70cl w/ Glass Gift Set,3,SingleMalt.PH,426244685,,18475686855,0,4,13,,[''],3779.0,3779.0,3779.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jack Daniel's Fire Whisky 70cl,3,SingleMalt.PH,426244685,,22342618300,0,0,1,,[''],1320.0,1320.0,1320.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Absolut Vodka 5cl Miniature,7,SingleMalt.PH,426244685,,16663080713,0,3,8,,[''],125.0,125.0,125.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Ardbeg Wee Beastie Single Malt Whisky 70cl,2,SingleMalt.PH,426244685,,11051599249,0,6,8,,[''],3499.0,3499.0,3499.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Bushmills Original Irish Whiskey 1L,3,SingleMalt.PH,426244685,,15197047570,3,3,0,,[''],1429.0,1429.0,1429.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Blue Label Umami,2,SingleMalt.PH,426244685,,24300921260,0,0,1,,[''],24279.0,24279.0,24279.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Glenfiddich 15 Year Old Single Malt Whisky 70cl,2,SingleMalt.PH,426244685,,3290136263,0,54,24,,[''],3989.0,3989.0,3989.0,False,0,4.923076923076923,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Casa Noble Crystal 5cl,4,SingleMalt.PH,426244685,,11953141608,0,4,2,,[''],360.0,360.0,360.0,False,9%,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Johnnie Walker 12 Days of Discovery 12 x 5cl Advent Calendar,1,SingleMalt.PH,426244685,,22730844233,0,0,4,,[''],6099.0,6099.0,6099.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Imperial Blue Light Whisky 70cl,9,SingleMalt.PH,426244685,,12120132001,1,7,2,,[''],279.0,279.0,279.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Jim Beam Honey Bourbon Whisky 70cl,3,SingleMalt.PH,426244685,,8494694737,1,14,3,,[''],1219.0,1219.0,1219.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Benchmark Old No. 8 -  Kentucky Straight Bourbon Whiskey,1,SingleMalt.PH,426244685,Benchmark,6590024540,1,2,6,,[''],799.0,799.0,799.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Green Label 15 Year Old 70cl,2,SingleMalt.PH,426244685,,11454836900,0,13,7,,[''],3149.0,3149.0,3149.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Johnnie Walker Blonde Blended Scotch Whisky 70cl,1,SingleMalt.PH,426244685,,18655612885,0,15,11,,[''],1949.0,1949.0,1949.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Alhambra Solera Light Brandy 1L,5,SingleMalt.PH,426244685,,21377288881,1,1,1,,[''],369.0,369.0,369.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Cruzan Aged Dark Caribbean Rum 75cl (2 Bottles),2,SingleMalt.PH,426244685,,14793943589,0,9,7,,[''],729.0,729.0,729.0,False,0,4.666666666666667,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Hibiki Japanese Harmony Master’s Select Limited Edition Gift Packaging 70cl,2,SingleMalt.PH,426244685,,20175668828,0,0,1,,[''],16999.0,16999.0,16999.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Kavalan Distillery Select Single Malt Whisky 70cl,3,SingleMalt.PH,426244685,,9889325164,0,8,6,,[''],3599.0,3599.0,3599.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Douglas Laing Big Peat Small Batch Whisky 70cl,5,SingleMalt.PH,426244685,,9794591482,0,12,3,,[''],2299.0,2299.0,2299.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Dewars 8 Year Old Caribbean Smooth Scotch Whisky 70cl,27,SingleMalt.PH,426244685,Dewar's,9359633454,1,10,10,,[''],999.0,999.0,999.0,False,0,4.8,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Bacardi Black Rum 75cl,6,SingleMalt.PH,426244685,,14781542464,0,5,3,,[''],799.0,799.0,799.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Smokehead Islay Single Malt 70cl,2,SingleMalt.PH,426244685,,11156357555,0,1,6,,[''],2799.0,2799.0,2799.0,False,0,0,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
Glengoyne Cask Strength Batch No.9 59.6% 70cl - Limited Release,2,SingleMalt.PH,426244685,,22819053363,0,1,1,,[''],4799.0,4799.0,4799.0,False,4%,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,True,2023-11-27 09:27:50
Douglas Laing - Scallywag Small Batch Scotch Whisky 70cl,3,SingleMalt.PH,426244685,,10853962039,0,4,2,,[''],2649.0,2649.0,2649.0,False,0,5,False,True,False,False,False,"Muntinlupa City, Metro Manila",4.896156,False,2023-11-27 09:27:50
